,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
6848,702384,The Best of Laxman: The Common Man Casts His Vote,R.K. Laxman,0143032690,4.29,2005,1,7,"Penguin Books,India",5:7,4:4,3:3,2:0,1:0,total:14,2,eng,,"From financial crises to the woes of householders, from political instability to rampant corruption, Laxman's cartoons capture the entire gamut of contemporary Indian experience. Hilarious and thought provoking at the same time, this is a treasure house of humor from one of the most striking voice commenting on Indian socio-political life today.",200.0,2.0
94789,1195113,"Lost (Fearless, #25)",Francine Pascal,0689855516,3.93,2003,1,1,Simon Pulse,5:150,4:151,3:119,2:22,1:6,total:448,6,eng,,"Now that things are insane again they’re finally back to normal. Dad’s in a coma. And I’m going out of my mind. Oh, one more thing…<br /><br />Sam’s back from the dead.",224.0,6.0
31397,1500830,Motor City Dream Garages: Amazing Collections from America's Greatest Car City,Rex  Roy,0760329893,3.75,2007,15,11,Motorbooks,5:2,4:0,3:1,2:1,1:0,total:4,1,eng,,"There isn't another place in the world that can match Detroit's automotive history. For nearly a century, what was conceived, designed, produced, and marketed from this town ruled the roads. So it only stands to reason that the Motor City is likely to host some of the country's greatest collector garages.<br /><br />From the personal home of the man who put America on wheels to the posh residences of current automotive icons such as Bob Lutz, <em>Motor City Dream Garages</em> takes readers on a guided tour of 20-plus of Motown's most interesting garages. Going beyond even these fantastic garagemahals, this book also takes readers inside select company garages for exclusive looks at the unique and important collections amassed by companies such as General Motors and Roush Industries (parent company to Roush Racing, owned by Jack Roush).<br /><br />If you like both garages and the beautiful machines within, this book is for you!",192.0,1.0
75718,2993119,The Reasons of Love,Harry G. Frankfurt,0691091641,3.65,2004,1,25,Princeton University Press,5:85,4:124,3:100,2:34,1:14,total:357,2,eng,112.0,"This beautifully written book by one of the world's leading moral philosophers argues that the key to a fulfilled life is to pursue wholeheartedly what one cares about, that love is the most authoritative form of caring, and that the purest form of love is, in a complicated way, self-love.<br /><br /><br /> Harry Frankfurt writes that it is through caring that we infuse the world with meaning. Caring provides us with stable ambitions and concerns; it shapes the framework of aims and interests within which we lead our lives. The most basic and essential question for a person to raise about the conduct of his or her life is not what he or she should care about but what, in fact, he or she cannot help caring about.<br /><br /><br /> The most important form of caring, Frankfurt writes, is love, a nonvoluntary, disinterested concern for the flourishing of what is loved. Love is so important because meaningful practical reasoning must be grounded in ends that we do not seek only to attain other ends, and because it is in loving that we become bound to final ends desired for their own sakes.<br /><br /><br /> Frankfurt argues that the purest form of love is self-love. This sounds perverse, but self-love--as distinct from self-indulgence--is at heart a disinterested concern for whatever it is that the person loves. The most elementary form of self-love is nothing more than the desire of a person to love. Insofar as this is true, self-love is simply a commitment to finding meaning in our lives.",,
78895,1793726,"Early Greek Myth: A Guide to Literary and Artistic Sources, Volume 2",Timothy Gantz,0801853621,4.46,1996,19,6,Johns Hopkins University Press,5:30,4:2,3:8,2:0,1:1,total:41,0,eng,,<i>Early Greek Myth</i> is a much-needed handbook for scholars and others interested in the literary and artistic sources of archaic Greek myths—and the only one of its kind available in English. Timothy Gantz traces the development of each myth in narrative form and summarizes the written and visual evidence in which the specific details of the story appear.,424.0,
98782,3142245,Hegel's Idea of Freedom,Alan Patten,0199251568,3.67,2002,5,23,"Oxford University Press, USA",5:2,4:2,3:0,2:2,1:0,total:6,0,eng,232.0,"This book offers the first full-length treatment in English of Hegel's idea of freedom - his theory of what it is to be free and his account of the social and political contexts in which this freedom is developed, realized, and sustained. Freedom is the value that Hegel most greatly admired and the central organizing concept of his social philosophy.<br />",,
97908,3107622,Good Housekeeping Complete Cook's Book,Christine Ingram,0007100744,0.0,2000,9,4,HarperCollins Illustrated,5:0,4:0,3:0,2:0,1:0,total:0,0,eng,304.0,"A highly illustrated comprehensive cookery manual that will teach its readers every thing they need to know about how to be successful in the kitchen.<br /><br />Chapter One: Essential Know How outlines the enormous range of equipment available and details the best buys. It distinguishes the must-haves from the less essential items of equipment, enabling readers to create well-stocked yet efficient kitchens. Included in this information will be care and cleaning tips and the know-how necessary to use both familiar and specialist items. Detailed information is provided on the different techniques used to produce sweet and savoury dishes, such as roasting, sealing, beating, blanching and poaching. Step-by-step photographs and easy-to-follow instructions illustrate the method of each technique while helpful tips ensure that common pitfalls are avoided and offer logical solutions to the most frequently encountered cookery problems.<br /><br />Chapter Two: Ingredients is devoted to individual ingredients, from dairy products such as milk and cheese through to meats, fish and poultry and then to vegetables, noodles and grains and finally to flavourings such as chocolate and sugar. All ingredients are illustrated and described in detail with advice on the cookery terms and techniques associated with each.<br /><br />Finally, a collection of 120 classic recipes offer an invaluable resource for cooks of all levels. These are cross referenced throughout the rest of the book and to ensure complete reliability, all the recipes have been tested in the Good Housekeeping Institute kitchens. Vital information on preparation and cooking times, freezing notes and a calorie count are also provided.<br /><br />A soon-to-be classic work of food reference, the Complete Cook’s Book is packed with important, enlightening and eye-opening culinary information – something that no ordinary cookbook can deliver.",,
68066,2669088,The Forger: An Extraordinary Story of Survival in Wartime Berlin,Cioma Schönhaus,0786720581,3.8,2008,1,8,"Da Capo Press (Cambridge, MA)",5:101,4:148,3:115,2:22,1:7,total:393,43,eng,235.0,"In Nazi Germany, 20-year-old graphic artist Cioma Schönhaus found a unique outlet for his talent: he forged documents for people fleeing the Reich, ultimately helping to save hundreds of lives. Yet, even as the Gestapo posted his photo in public, he lived a daring life, replete with fine restaurants &amp; beautiful women, all the while managing to elude the Nazis. Breathtakingly bold, Schönhaus talked his way out of an arrest, defended Jewish diners being harassed by the police, &amp; ultimately fled Germany by bicycling to Switzerland. Schönhaus’ story--his courageous exploits that saved so many, as many others around him were deported, one by one, to the concentration camps--is an astonishing tale of wartime heroism &amp; survival.",,
82577,1896340,Texts and Cultural Change in Early Modern England,Cedric C. Brown,0333662873,3.33,1997,10,15,Palgrave MacMillan,5:1,4:0,3:1,2:1,1:0,total:3,0,eng,254.0,"This is a wide-ranging, closely-researched collection, written by scholars from both sides of the Atlantic, on the cultural placement and transmission of texts between 1520 and 1750. Material and historical conditions of texts are analysed, and the range of works is wide, including plays and the Lucrece of Shakespeare (with adaptations, and a discussion of 'reading' playtexts), Sidney's Arcadia, Greene's popular Pandosto (both discussed in the contexts of changing readerships and forms of fiction), Hakluyt's travel books, funerary verse, and the writings of Katherine Parr and Elizabethan Catholic martyrs.",,
91309,1131591,"Dark Assassin (William Monk, #15)",Anne Perry,075532059X,3.98,2006,4,9,Headline,5:874,4:1346,3:694,2:85,1:27,total:3026,3,eng,,"<i>The two figures had been on the bridge. He had grasped hold of her. To save her, or to push her?</i><br /><br />Inspector William Monk is still feeling his way in a new post in the Thames River Police and knows he must solve the mystery to gain the respect of his men. Soon both he and Hester find themselves powerfully involved in the story of the dead woman, Mary Havilland, and her quest to vindicate her father, found dead two months previously. An engineer working for the Argyll Construction Company, James Havilland was convinced a major disaster would happen in the tunnels where London's desperately needed new sewer system was being built. Maddened by his obsession, he'd apparently shot himself. Mary had never accepted that and now she was dead too. Was it chance or something more sinister?",378.0,3.0
39783,1293595,"The Lazarus Strain (Dr Steven Dunbar, #6)",Ken McClure,0749080159,3.88,2007,1,8,Allison & Busby,5:120,4:202,3:100,2:29,1:6,total:457,30,en-GB,,"When the Crick Research Institute is broken into the police believe that it was Animal Rights activists taking things a step too far. But one of the Institute's top scientists, Tim Devon, is found brutally murdered and six research monkeys have been let loose. No one seems to know exactly what the monkeys were being used for and government officials arrive a little too promptly to prevent any of Prof. Devon's colleagues from finding out exactly what he was researching.",317.0,30.0
40306,802241,Sharks,Catriona Clarke,0794515819,3.99,2007,1,1,Usborne Books,5:28,4:25,3:18,2:4,1:1,total:76,9,eng,,What do sharks like to eat? Which shark glows in the dark? And why do some sharks never stop swimming? Youll find out the answers and lots more fun facts in this shark-infested book.,32.0,9.0
51655,2092973,Me And Mr Darcy,Alexandra Potter,0340923741,3.22,2007,6,28,Hodder,5:2006,4:2981,3:4403,2:2348,1:928,total:12666,114,eng,352.0,"He's every woman's fantasy...<br /><br />After a string of disastrous relationships, Emily Albright has had it with modern men.<br /><br />She'd rather curl up with <i>Pride and Prejudice</i> and step into a time where men were honorable and strode across fields in breeches, their damp shirts clinging to their chests. The men she meets are more into pleated trousers, two-timing and internet porn.<br /><br />So when her best friend invites her to Mexico for a week of margaritas and manhunting, Emily books a guided tour of Jane Austen country instead.<br /><br />There are no dream men here. The coach is full of pensioners, apart from one Spike Hargreaves, a foul-tempered journalist writing a piece on why most women would love to date Mr Darcy.<br /><br />But then she walks into a room and finds herself face-to-face with Darcy himself. And every woman's fantasy suddenly becomes one woman's reality...<br /><br />Alexandra Potter makes dreams come true in this fun, feel-good fairy-tale about life, love and dating literature's most eligible bachelor.",,
50887,2069496,"Tasha the Tap Dance Fairy (Rainbow Magic: Dance Fairies, #4)",Daisy Meadows,1846164931,3.85,2007,8,1,Orchard (NY),5:239,4:133,3:138,2:53,1:27,total:590,19,eng,69.0,"Rachel and Kirsty are on the hunt for Tasha's magic ribbon. Its been stolen by a goblin, who thinks he's brilliant at tap dancing! Can the girls find a way to trick the nasty goblin into giving the ribbon back.",,
97534,3092139,Apricots At Midnight: And Other Stories From A Patchwork Quilt,Adèle Geras,0006732259,4.5600000000000005,1989,5,11,Young Lions,5:47,4:26,3:4,2:0,1:0,total:77,0,eng,192.0,"Long ago, when Aunt Pinny was small, she wanted a garden. but it was winter and she was ill, so she has to have a special sort of garden, a garden of silk and velvet and lace, all sewn into a wonderful patchwork quilt.<br /><br />Each patch has a story to tell. The red velvet brings back memories of the fancy dress ball, where Pinny had a midnight feast with a highwayman, and the green brocade with the blue dragons reminds her of Captain Tramplemousse, the pirate. Then there's the stripey patch from a zebra and a piece of lace from a haunted dress, and many more, all with tales from an enchanted childhood in a bygone age.",,
8053,720525,60 Crocheted Snowflakes,Barbara Christopher,0486253937,3.91,1987,1,7,Dover Publications,5:25,4:16,3:17,2:4,1:2,total:64,2,eng,,"Few objects evoke the spirit of Christmas and a holiday atmosphere more effectively than light and airy snowflakes. Now, with this unusually extensive and comprehensive collection of patterns, crocheters can add exquisitely shaped ""snow gems"" to their treasure chest of festive ornaments.<br />Delicate snowflake patterns, infinite in form and amazingly symmetrical, are among the most popular designs with today's needleworkers. The 60 motifs in this collection, based on photographs of actual snowflakes from the book <i>Snow Crystals</i> by W. A. Bentley and W. L. J. Humphreys, include simple shapes for beginners, as well as intricate and challenging motifs for the more advanced. Eye-catching patterns include star-shaped wheels, exotic flower-like webs, six-side jewels of intricately worked threads, and a kaleidoscope of lacy arms and elaborate fern-like compositions.<br />Ideal for decorating Christmas trees, windows, and packages, or for framing, the snowflake patterns included here come with complete directions and finely detailed illustrations; and unlike nature's fragile, short-lived crystals, these inexpensive ornaments will be a joy to behold for years to come.",32.0,2.0
95360,3010560,"Sacred Stone (The Oregon Files, #2)",Clive Cussler,1587248751,3.96,2005,1,1,Wheeler Publishing,5:2820,4:3284,3:1987,2:393,1:121,total:8605,0,eng,551.0,"<b>A New York Times Bestselling Author</b><br /><br />In the remote wastes of Greenland, an ancient artifact possessing catastrophic radioactive power is unearthed. Caught between two militant factions, Juan Cabrillo and his network of spies must fight to protect the outbreak of World War III.",,
107560,3581328,Superman: Brainiac,Geoff Johns,1401220878,4.02,2009,3,10,DC Comics,5:1110,4:1136,3:673,2:160,1:22,total:3101,114,eng,128.0,"Before he came to Earth, the people of Superman's homes planet Krypton had battled Brainiac, a cold and callous alien obsessed with the control of knowledge. <br /><br />Now, Brainiac has set his sights on destroying Earth and finishing off the Last Son of Krypton once and for all. This epic battle will change Superman's world forever.<br /><br />Collecting ACTION COMICS #866-870 and material from SUPERMAN: NEW KRYPTON SPECIAL #1.",,
75616,2988400,The Yak Who Yelled Yuck (AlphaTales Y),Carol Pugliano-Martin,0439165482,3.85,2001,2,1,Scholastic,5:7,4:11,3:6,2:1,1:1,total:26,2,eng,16.0,"A young yak thinks new foods out yucky until she learns a yummy lesson. Kids will shout ""Yippee"" when you share this engaging tale that teaches the letter Y. AlphaTales are humorous stories designed to help young children recognize letters and the sounds they make. Lay the foundation for reading success with these kid-pleasing books-one for each letter of the alphabet.",,
4818,1639088,Passion for the Possible: A Spirituality of Hope for the New Millennium,Daniel J. O'Leary,1856072355,4.75,1998,1,12,Columba Press (IE),5:3,4:1,3:0,2:0,1:0,total:4,2,eng,,"There is disillusionment, confusion and anger in the hearts of many people in the face of a closed, dry, and dogmatic ecclesiastical attitude. And yet, there are undeniable signs of hope in the hearts of God's people for a new spirituality and for a renewed theology to go with it. They are drawn by the possibilities for spiritual growing, for fresh visions, for imaginative networking. Their hearts confirm the original vision of the creative Holy Spirit - a vision that is currently being rediscovered within the truest tradition of the Catholic faith. The amazing but orthodox theology of revelation that underpins this book will bring hope and joy to many bewildered and despondent Christian hearts.",294.0,2.0
97991,3110677,"Romani in Contact: The History, Structure and Sociology of a Language (Current Issues in Linguistic Theory)",Yaron Matras,9027236291,4.0,1995,6,1,John Benjamins Publishing Company,5:0,4:1,3:0,2:0,1:0,total:1,0,eng,208.0,"A language of Indic origin heavily infuenced by European idioms for many centuries now, Romani provides an interesting experimental field for students of language contact, linguistic minorities, standardization, and typology. Approaching the language via its ever-surfacing character as a language in contact, the volume gives expression to part of the wide range or research represented in today's field of Romani linguistics. Contributions focus on problems in typological change and structural borrowing, lexical borrowing and lexcial reconstruction, the Iranian influence on the language, interdialectal interference, language mixing, Romani influences on slang and argot, grammatical categories in discourse, standardization and literacy in a multilingual community, and plagiarism of data in older sources. The authors discuss dialects spoken in the Czech and Slovak Republics, Serbia, Macedonia, Germany, Poland, and Romania, as well as related varieties in Spain and the Middle East.",,
84221,920766,The Vagrants,Yiyun Li,0007196644,3.87,2009,5,2,Fourth Estate,5:854,4:1440,3:812,2:181,1:43,total:3330,4,eng,,"Brilliant and illuminating, this astonishing debut novel by the award-winning writer Yiyun Li is set in China in the late 1970s, when Beijing was rocked by the Democratic Wall Movement, an anti-Communist groundswell designed to move China beyond the dark shadow of the Cultural Revolution toward a more enlightened and open society. In this powerful and beautiful story, we follow a group of people in a small town during this dramatic and harrowing time, the era that was a forebear of the Tiananmen Square uprising.<br /><br />Morning dawns on the provincial city of Muddy River. A young woman, Gu Shan, a bold spirit and a follower of Chairman Mao, has renounced her faith in Communism. Now a political prisoner, she is to be executed for her dissent. Her distraught mother, determined to follow the custom of burning her only child’s clothing to ease her journey into the next world, is about to make another bold decision. Shan’s father, Teacher Gu, who has already, in his heart and mind, buried his rebellious daughter, begins to retreat into memories. Neither of them imagines that their daughter’s death will have profound and far-reaching effects, in Muddy River and beyond.<br /><br />In luminous prose, Yiyun Li weaves together the lives of these and other unforgettable characters, including a serious seven-year-old boy, Tong; a <br />crippled girl named Nini; the sinister idler Bashi; and Kai, a beautiful radio news announcer who is married to a man from a powerful family. Life in a world of oppression and pain is portrayed through stories of resilience, sacrifice, perversion, courage, and belief. We read of delicate moments and acts of violence by mothers, sons, husbands, neighbors, wives, lovers, and more, as Gu Shan’s execution spurs a brutal government reaction.<br /><br />Writing with profound emotion, and in the superb tradition of fiction by such writers as Orhan Pamuk and J. M. Coetzee, Yiyun Li gives us a stunning novel that is at once a picture of life in a special part of the world during a historic period, a universal portrait of human frailty and courage, and a mesmerizing work of art.",337.0,4.0
26118,1082847,The Man Who Killed His Brother,Stephen R. Donaldson,0345335384,3.62,1980,12,11,Ballantine Books,5:75,4:161,3:152,2:29,1:9,total:426,1,eng,,"Reed Stephens:a pseudonym used by Stephen R. Donaldson.<br />Mick ""Brew"" Axbrewder was once a great P.I. That was before he accidentally shot and killed a cop-worse, a cop who happened to be his own brother. Now he only works now and then, as muscle for his old partner, Ginny Fistoulari. It's a living. And it provides an occasional opportunity for him to dry out.",187.0,1.0
44468,849880,Hell's Angels,Hunter S. Thompson,0345331486,3.97,1985,12,8,Ballantine Books (NY),5:12863,4:17448,3:9119,2:1805,1:492,total:41727,39,en-US,,"""California, Labor Day weekend...early, with ocean fog still in the streets, outlaw motorcyclists wearing chains, shades &amp; greasy Levis roll out from damp garages, all-night diners &amp; cast-off one-night pads in Frisco, Hollywood, Berdoo &amp; East Oakland, heading for the Monterey peninsula, north of Big Sur...The Menace is loose again."" Thus begins Hunter S. Thompson's vivid account of his experiences with California's most notorious motorcycle gang, the Hell's Angels.<br /><br /> In the mid-60s, Thompson spent almost two years living with the controversial Angels, cycling up &amp; down the coast, reveling in the anarchic spirit of their clan, and, as befits their name, raising hell. His book successfully captures a singular moment in American history, when the biker lifestyle was 1st defined, &amp; when such countercultural movements were electrifying &amp; horrifying America. Thompson, the creator of Gonzo journalism, writes with his usual bravado, energy &amp; brutal honesty, &amp; with a nuanced &amp; incisive eye; as The New Yorker pointed out, ""For all its uninhibited &amp; sardonic humor, Thompson's book is a thoughtful piece of work."" As illuminating now as when originally published in '67, Hell's Angels is a gripping portrait, the best account we have of the truth behind an American legend.",348.0,39.0
76664,1725399,Talking Heads,Alan Bennett,184607259X,4.28,2007,5,7,BBC Books,5:731,4:500,3:201,2:39,1:13,total:1484,68,eng,,Talking Heads is a series of dramatic monologues written for BBC television by British playwright Alan Bennett and later published as a series of books.,266.0,
79171,1802466,"A Question of Proof (Nigel Strangeways, #1)",Nicholas Blake,0792704460,3.7,1990,10,28,John Curley & Associates,5:125,4:202,3:165,2:34,1:18,total:544,46,eng,338.0,"The faculty and student body at Sudeley are shocked but scarcely saddened when the headmaster’s obnoxious nephew, Algernon Wyvern-Wemyss, is found dead in a haystack on Sports Day. <br /><br />But when the young English master, Michael Evans, becomes a suspect in the case, he’s greatly relieved when his clever friend Nigel Strangeways, who is beginning to make a name for himself as a private inquiry agent, shows up to lend a hand to the local constabulary. <br /><br />Strangeways immediately wins over the students and even becomes an initiate in one of their secret societies, The Black Spot, whose members provide him with some of the information he needs to solve the case. <br /><br />In the meantime Michael and Hero Vale, the pretty young wife of the headmaster, continue their hopeless love affair. When another murder follows, Strangeways is soon certain of the murderer’s identity, but until he can prove it, he’s reluctant to share his theory with the unimaginative but thorough Superintendent Armstrong. <br /><br />Published in 1935 while he was a schoolmaster himself, this is the first detective novel by C. Day-Lewis, the noted man of letters who went on to become England’s poet laureate.",,
19272,672335,Beethoven: Studies in the Creative Process,Lewis Lockwood,0674063627,4.0,1992,1,4,Harvard University Press,5:0,4:2,3:0,2:0,1:0,total:2,0,eng,,"It is well known that Mozart developed his works in his head and then simply transcribed them onto paper, while Beethoven labored assiduously over sketches and drafts--""his first ideas,"" in Stephen Spender's words, ""of a clumsiness which makes scholars marvel at how he could, at the end, have developed from them such miraculous results."" Indeed Beethoven's extensive sketchbooks (which total over 8,000 pages) and the autograph manuscripts, covering several stages of development, reveal the composer systematically exploring and evolving his musical ideas. Through close investigation of individual works, Lewis Lockwood traces the creative process as it emerges in Beethoven's sketches and manuscripts. Four studies address the composition of the ""Eroica"" Symphony from various viewpoints. The chamber works discussed include the Cello Sonata in A Major, Opus 69 (of which the entire autograph manuscript of the first movement is published here in facsimile), the string quartet Opus 59 No. 1, and the Cavatina of the later quartet Opus 130. Lockwood's lucid analysis enhances our understanding of Beethoven's musical strategies and stylistic developments as well as the compositional process itself In a final chapter the author outlines the importance of Beethoven's autographs for the modern performer.",283.0,
64539,2523448,A Mother in the Making,Lilian Darcy,0373248806,3.19,2008,1,29,Silhouette Special Edition,5:5,4:4,3:11,2:5,1:2,total:27,4,eng,248.0,"UNEXPECTEDLY EXPECTING!<br /><br />Carmen O'Brien has a lot on her plate --- including raising her orphaned siblings. And if that isn't enough, a gorgeous, sexy new man has just entered her life --- Jack Davey.<br /><br />But who has time for gorgeous, sexy new men? It's fantastic to have a bit of fun for a change, but Carmen has to put family first.<br /><br />Except then she discovers she's bound to Jack for good. She might have been a mom in the making for years, but Carmen is to become a mom for real in nine months' time --- and she needs Jack more than ever...""",,
89177,997117,Hell to Pay,George Pelecanos,0316695068,3.88,2002,27,2,"Little, Brown and Company",5:584,4:1210,3:623,2:90,1:26,total:2533,13,eng,,"Derek Strange and Terry Quinn, the team of private investigators who made their stunning debut in Right As Rain, are hired to find a 14-year-old white girl from the suburbs who's run away from home and is now working as a prostitute. The two ex-cops think they know D.C.'s dangers, but nothing in their experience has prepared them for Worldwide Wilson, the pimp whose territory they're intruding upon.<br /><br />Combining inimitable neighborhood flavor, action scenes that rank among the best in fiction, and a clear-eyed view of morality in a world with few rules, ""Hell to Pay"" is another Pelecanos masterpiece for his ever-expanding audience to savor.",352.0,13.0
60845,2393511,Seven Come Infinity,Groff Conklin,4049017520,4.0,1966,1,1,Fawcett Publications,5:8,4:11,3:8,2:0,1:0,total:27,4,eng,288.0,"Seven superb tales of possible worlds where...<br />television covers the inhuman side of the news;<br />ingenious social planning makes every man a dictator;<br />computerized brain repair proves too successful;<br />spaceships vanish in the fourth dimension;<br />the competition for habitable planets inspires an interstellar hoax;<br />peculiar bugs appear and things, literally, begin to fall apart;<br />a highly developed society exists without the clutter of technology.<br /><br />Carefully selected and edited by Groff Conklin, each of these stories represents the work of a master in the field. Taken together they make a collection of great diversity, imagination and creativity, especially designed for the connoisseur of science fiction.<br /><br />Contents:<br /><br />Preface • essay by Groff Conklin <br />The Golden Bugs • (1960) • novelette by Clifford D. Simak <br />Special Feature • (1958) • novelette by Charles V. De Vet <br />Panic Button • (1959) • shortstory by Eric Frank Russell <br />Discontinuity • (1950) • novelette by Raymond F. Jones <br />The Corianis Disaster • (1960) • novella by Murray Leinster <br />The Servant Problem • (1955) • novelette by William Tenn <br />Rite of Passage • (1954) • novelette by Chad Oliver",,
30333,1378138,The Around the World Coobook,Linda Fraser,0754802566,4.1,2000,1,9,Anness Publishing,5:11,4:13,3:6,2:1,1:0,total:31,5,eng,,The Around the World Cookbook is a great opportunity to sample some of the world''s favourite dishes. This chapter-by-chapter tour of the world includes over 350 authentic and flavoursome recipes in their own diversity.',512.0,5.0
79175,1802563,Dr Jekyll and Mr Hyde (Longman Classics),D.K. Swan,0582018188,3.55,1991,4,1,Addison Wesley Publishing Company,5:0,4:6,3:5,2:0,1:0,total:11,1,eng,57.0,"This is a Stage 3 title in a series which contains some of the best classic stories retold in English. The series is graded in four stages: Stage 1 - 500 word vocabulary, Stage 2 - 750, Stage 3 - 1300 and Stage 4 - 1800. Each book includes an introduction to the author and story, a glossary of new words and exercise material (comprehension and discussion questions).",,
28473,1334382,Stiffed: The Betrayal of the American Man,Susan Faludi,068812299X,3.88,1999,22,9,William Morrow,5:258,4:390,3:211,2:47,1:21,total:927,11,eng,,"One of the most talked-about books of last year, the Pulitzer Prize-winning author of <em>Backlash</em> now explores the collapse of traditional masculinity that has left men feeling betrayed. With <em>Backlash</em> in 1991, Susan Faludi broke new ground when she put her finger directly on the problem bedeviling women, and the light of recognition dawned on millions of her readers: what's making women miserable isn't something they're doing to themselves in the name of independence. It's something our society is doing to women. The book was nothing less than a landmark. Now in <em>Stiffed,</em> the author turns her attention to the masculinity crisis plaguing our culture at the end of the '90s, an era of massive layoffs, ""Angry White Male"" politics, and Million Man marches. As much as the culture wants to proclaim that men are made miserable--or brutal or violent or irresponsible--by their inner nature and their hormones, Faludi finds that even in the world they supposedly own and run, men are at the mercy of cultural forces that disfigure their lives and destroy their chance at happiness. As traditional masculinity continues to collapse, the once-valued male attributes of craft, loyalty, and social utility are no longer honored, much less rewarded. Faludi's journey through the modern masculine landscape takes her into the lives of individual men whose accounts reveal the heart of the male dilemma. <em>Stiffed</em> brings us into the world of industrial workers, sports fans, combat veterans, evangelical husbands, militiamen, astronauts, and troubled ""bad"" boys--whose sense that they've lost their skills, jobs, civic roles, wives, teams, and a secure future is only one symptom of a larger and historic betrayal.",672.0,11.0
82347,1890078,The Reappearance of the Christ,Alice A. Bailey,085330114X,4.15,1948,12,1,Lucis Publishing Company,5:20,4:5,3:4,2:1,1:3,total:33,3,eng,192.0,"Many expect the coming of an Avatar or Saviour. This book presents the second coming of the Christ, as the world Teacher for the age of Aquarius, as an imminent event in the continuity of divine revelation. The Christ belongs to all mankind, and can be known and understood as the same great Identity in all the world religions.",,
36718,1232729,Sailors to the End: The Deadly Fire on the USS Forrestal and the Heroes Who Fought It,Gregory A. Freeman,0060936908,4.34,2004,6,7,William Morrow Paperbacks,5:135,4:102,3:31,2:5,1:0,total:273,1,eng,,"The aircraft carrier USS Forrestal was preparing to launch attacks into North Vietnam when one of its jets accidentally fired a rocket into an aircraft occupied by pilot John McCain. A huge fire ensued, and McCain barely escaped before a 1,000-pound bomb on his plane exploded, causing a chain reaction with other bombs on surrounding planes. The crew struggled for days to extinguish the fires, but, in the end, the tragedy took the lives of 134 men. For thirty-five years, the terrible loss of life has been blamed on the sailors themselves, but this meticulously documented history shows that they were truly the victims and heroes.",307.0,1.0
22125,1012959,The Castle,Franz Kafka,074939952X,3.96,1992,23,1,Vintage Classics,5:14814,4:15656,3:8874,2:2488,1:854,total:42686,17,en-GB,,"<b>'He is the greatest German writer of our time. Such poets as Rilke or such novelists as Thomas Mann are dwarfs or plaster saints in comparison to him' Vladimir Nabokov</b><br /><br />The story of K. and his arrival in a village where he is never accepted, and his relentless, unavailing struggle with authority in order to gain entrance to the castle that seems to rule it. K.'s isolation and perplexity, his begging for the approval of elusive and anonymous powers, epitomises Kafka's vision of twentieth-century alienation and anxiety.",320.0,17.0
102172,3281091,"Tempest-tost (The Salterton Trilogy, #1)",Robertson Davies,0140264345,4.05,1997,9,22,Penguin Canada,5:545,4:748,3:335,2:54,1:7,total:1689,1,en-US,280.0,"amateur production of <i>The Tempest</i> provides a colourful backdrop for an hilarious look at unrequited love. Mathematics teacher Hector Mackilwraith, stirred and troubled by Shakespeare's play, falls in love with the beautiful Griselda Webster. When Griselda shows that she has plans of her own, Hector despairs and tries to commit suicide on the play's opening night.",,
2327,1962492,Battlefields Beyond Tomorrow: Science Fiction War Stories,Robert Silverberg,0517641054,4.11,1987,10,7,Bonanza Books,5:14,4:16,3:3,2:2,1:1,total:36,7,eng,650.0,This anthology contains: Introduction by Robert Silverberg; The Defenders by Philip K. Dick; The Long Watch by Robert A. Heinlein; The Miracle Workers by Jack Vance; Committee of the Whole by Frank Herbert; Superiority by Arthur C. Clarke; Single Combat by Joe Green; Ender's Game by Orson Scott Card; Hero by Joe W. Haldeman; The Survivor by Walter F. Moudy; The Last Objective by Paul Carter; What Do You Want Me to Do to Prove Im Human Stop by Fred Saberhagen; Hangman by David Drake; The Night of the Trolls by Keith Laumer; The Nuptial Flight of Warbirds by Algis Budrys; Mirror Mirror by Alan E. Nourse; Memorial by Theodore Sturgeon; Shark by Edward Bryant; Not a Prison Make by Joseph P. Martino; Hawk Among the Sparrows by Dean McLaughlin; No War or Battle's Sound by Harry Harrison; In the Name of the Father by Edward P. Hughes; On the Shadow of a Phosphor Screen by William F. Wu; The Specter General by Theodore R. Cogswell; Fixed Price War by Charles Sheffield; and The Machine that Won the War by Isaac Asimov.,,
96391,3052564,The Aristocrat,Catherine Coulter,0373093314,3.69,1986,9,1,Silhouette Books,5:335,4:333,3:347,2:106,1:45,total:1166,2,eng,253.0,"What would an American football star do if he suddenly found himself an English lord? It wasn't something pro quarterback Brant Asher had ever bothered to think about --until the day he learned of his inheritance. He was now Viscount Asherwood, heir to an English estate, and a whole lot of trouble.<br /><br />Brant had inherited the obligation to marry Daphne, charitably described to him as an ugly duckling. This wasn't an attractive prospect for a man who enjoyed the pleasures of bachelor life--until he met the lady in question. Her reputation was obviously undeserved, because this was no ugly duckling; this was a beautiful swan.",,
